_fivetran Synced (Ad Set History),Account Id (Ad Set History),Adset Source Id,Asset Feed Id,Bid Strategy,Billing Event,Campaign Id,Configured Status,Created Time,Destination Type,Effective Status,End Time,Id (Ad Set History),Instagram Actor Id,Is Dynamic Creative,Learning Stage Info Attribution Windows,Learning Stage Info Status,Multi Optimization Goal Weight,Name (Ad Set History),Optimization Goal,Optimization Sub Event,Promoted Object Application Id,Promoted Object Custom Event Type,Promoted Object Event Id,Promoted Object Object Store Url,Promoted Object Offer Id,Promoted Object Page Id,Promoted Object Pixel Id,Promoted Object Place Page Set Id,Promoted Object Product Catalog Id,Promoted Object Product Set Id,Recurring Budget Semantics,Review Feedback,Rf Prediction Id,Start Time,Status,Targeting App Install State,Targeting Audience Network Positions,Targeting College Years,Targeting Connections,Targeting Device Platforms,Targeting Education Majors,Targeting Education Schools,Targeting Education Statuses,Targeting Effective Audience Network Positions,Targeting Excluded Connections,Targeting Excluded Publisher Categories,Targeting Excluded Publisher List Ids,Targeting Excluded User Device,Targeting Exclusions,Targeting Facebook Positions,Targeting Friends Of Connections,Targeting Geo Locations Countries,Targeting Geo Locations Location Types,Targeting Instagram Positions,Targeting Locales,Targeting Publisher Platforms,Targeting User Adclusters,Targeting User Device,Targeting User Os,Targeting Wireless Carrier,Targeting Work Employers,Targeting Work Positions,Updated Time,Use New App Click,Bid Amount,Bid Info Actions,Budget Remaining,Daily Budget,Daily Min Spend Target,Daily Spend Cap,Learning Stage Info Conversions,Learning Stage Info Last Sig Edit Ts,Lifetime Budget,Lifetime Imps,Lifetime Min Spend Target,Lifetime Spend Cap,Targeting Age Max,Targeting Age Min,behaviors,work_positions,income,education_statuses,family_statuses,interests
4/20/2022 8:17:37 AM,2639464932933985,23848377724540659,,,IMPRESSIONS,23849574292260659,ACTIVE,1/23/2022 7:21:30 PM,UNDEFINED,ACTIVE,,23849574292400659,,False,"[
  ""7d_click""
]",FAIL,UNDEFINED,broad audience,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,1/23/2022 7:21:31 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/15/2022 12:32:20 AM,False,,,0,,2000,,0,1646436233,,0,,,65,18,0,0,0,0,0,0
4/21/2022 2:20:15 AM,2639464932933985,23848377724540659,,,IMPRESSIONS,23849574292260659,PAUSED,1/23/2022 7:21:30 PM,UNDEFINED,PAUSED,,23849574292400659,,False,,,UNDEFINED,broad audience,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,1/23/2022 7:21:31 PM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/20/2022 8:57:34 AM,False,,,0,,2000,,,,,0,,,65,18,0,0,0,0,0,0
4/21/2022 2:20:15 AM,2639464932933985,23849871434150659,,,IMPRESSIONS,23849574292260659,ACTIVE,3/20/2022 4:28:41 AM,UNDEFINED,ACTIVE,,23850002288540659,,False,"[
  ""7d_click"",
  ""1d_view""
]",FAIL,UNDEFINED,INT: crafts 2,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/20/2022 4:28:41 AM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/15/2022 12:29:10 AM,False,,,0,,2000,,12,1648091376,,0,,,55,25,0,0,0,0,0,Homeschooling and Cakedecorating and KidsActivities and FunCraftsKids
4/21/2022 2:20:15 AM,2639464932933985,23849574292270659,,,IMPRESSIONS,23849574292260659,ACTIVE,3/22/2022 3:12:26 AM,UNDEFINED,ACTIVE,,23850016155190659,,False,"[
  ""7d_click"",
  ""1d_view""
]",FAIL,UNDEFINED,Single Kits,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/22/2022 3:12:26 AM,ACTIVE,,,,,"[
  ""mobile"",
  ""desktop""
]",,,,,,,,,,"[
  ""feed"",
  ""video_feeds"",
  ""marketplace""
]",,"[
  ""US""
]","[
  ""home"",
  ""recent""
]","[
  ""stream""
]",,"[
  ""facebook"",
  ""instagram""
]",,,,,,,4/15/2022 12:32:12 AM,False,,,0,,2000,,10,1648004252,,0,,,65,18,0,0,0,0,0,Homeschooling and Cakedecorating and Birthdaycake and FunCraftsKids
4/21/2022 2:20:15 AM,2639464932933985,23849871181890659,,,IMPRESSIONS,23849574292260659,ACTIVE,3/17/2022 12:07:27 AM,UNDEFINED,ACTIVE,,23849974506340659,,False,"[
  ""7d_click"",
  ""1d_view""
]",FAIL,UNDEFINED,Int: WatercolorPainting Females,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/17/2022 12:07:27 AM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/15/2022 12:32:03 AM,False,,,0,,2000,,9,1648300657,,0,,,65,18,0,0,0,0,0, Watercolorpainting
4/21/2022 2:20:15 AM,2639464932933985,23848377912560659,,,IMPRESSIONS,23849574292260659,PAUSED,1/23/2022 7:21:30 PM,UNDEFINED,PAUSED,,23849574292270659,,False,,,UNDEFINED,LAL email 2%,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,1/23/2022 7:21:30 PM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/15/2022 12:31:47 AM,False,,,0,,1800,,,,,0,,,65,18,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23850287677120659,,LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,23850287676990659,ACTIVE,4/25/2022 4:05:50 PM,UNDEFINED,ACTIVE,,23850287764310659,,False,"[
  ""7d_click"",
  ""1d_view""
]",LEARNING,UNDEFINED,W24+ Crafts,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,True,,,4/25/2022 4:05:50 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/25/2022 4:05:50 PM,False,,,1805,2000,,,1,,0,0,,,65,24,0,0,0,0,0, Crafts
5/3/2022 9:02:49 AM,2639464932933985,23849871434150659,,LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,23850287676990659,ACTIVE,4/25/2022 4:08:10 PM,UNDEFINED,ACTIVE,,23850287696160659,,False,"[
  ""7d_click"",
  ""1d_view""
]",LEARNING,UNDEFINED,W24+ Fun Crafts Kids,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,True,,,4/25/2022 4:08:10 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/25/2022 4:08:10 PM,False,,,1780,2000,,,0,,0,0,,,65,24,0,0,0,0,0, FunCraftsKids
5/3/2022 9:02:49 AM,2639464932933985,23850038981390659,,LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,23850287676990659,ACTIVE,4/25/2022 4:07:27 PM,UNDEFINED,ACTIVE,,23850287696200659,,False,"[
  ""7d_click"",
  ""1d_view""
]",LEARNING,UNDEFINED,W24+ Parent Demos x College Grads,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,True,,,4/25/2022 4:07:27 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/25/2022 4:07:27 PM,False,,,1819,2000,,,0,,0,0,,,65,24,0,0,0,11 and 3 and 9,Parentswithtoddlers(01-02years) and Parentswithpreschoolers(03-05years) and Parentswithearlyschool-agechildren(06-08years) and Parentswithpreteens(09-12years),0
5/3/2022 9:02:49 AM,2639464932933985,0,,LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,23850287676990659,ACTIVE,4/25/2022 4:05:50 PM,UNDEFINED,ACTIVE,,23850287677120659,,False,"[
  ""7d_click"",
  ""1d_view""
]",LEARNING,UNDEFINED,W24+ Kids Activities,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,True,,,4/25/2022 4:05:50 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/25/2022 4:05:50 PM,False,,,1856,2000,,,0,,0,0,,,65,24,0,0,0,0,0, KidsActivities
5/3/2022 9:02:49 AM,2639464932933985,23849974506340659,,LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,23850287676990659,ACTIVE,4/25/2022 4:08:45 PM,UNDEFINED,ACTIVE,,23850287696180659,,False,"[
  ""7d_click"",
  ""1d_view""
]",LEARNING,UNDEFINED,W24+ Watercolor painting,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,True,,,4/25/2022 4:08:46 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/25/2022 4:08:45 PM,False,,,1823,2000,,,2,,0,0,,,65,24,0,0,0,0,0, Watercolorpainting
5/3/2022 9:02:49 AM,2639464932933985,23850287677120659,,LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,23850287676990659,ACTIVE,4/25/2022 4:06:02 PM,UNDEFINED,ACTIVE,,23850287764320659,,False,"[
  ""7d_click"",
  ""1d_view""
]",LEARNING,UNDEFINED,W24+ Lookalike (1%) - PV F ≥ 2 - 180d,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,True,,,4/25/2022 4:06:02 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/25/2022 4:06:18 PM,False,,,1690,2000,,,0,,0,0,,,65,24,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23849871181890659,,,IMPRESSIONS,23849574292260659,ACTIVE,3/17/2022 12:07:27 AM,UNDEFINED,CAMPAIGN_PAUSED,,23849974506340659,,False,,,UNDEFINED,Int: WatercolorPainting Females,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/17/2022 12:07:27 AM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/21/2022 2:35:53 AM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0, Watercolorpainting
5/3/2022 9:02:49 AM,2639464932933985,23849574292270659,,,IMPRESSIONS,23849574292260659,ACTIVE,3/22/2022 3:12:26 AM,UNDEFINED,CAMPAIGN_PAUSED,,23850016155190659,,False,,,UNDEFINED,Single Kits,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/22/2022 3:12:26 AM,ACTIVE,,,,,"[
  ""mobile"",
  ""desktop""
]",,,,,,,,,,"[
  ""feed"",
  ""video_feeds"",
  ""marketplace""
]",,"[
  ""US""
]","[
  ""home"",
  ""recent""
]","[
  ""stream""
]",,"[
  ""facebook"",
  ""instagram""
]",,,,,,,4/21/2022 2:49:36 AM,False,,,0,,,,,,,0,,,64,28,0,0,0,0,0,Homeschooling and Cakedecorating and Birthdaycake and FunCraftsKids
5/3/2022 9:02:49 AM,2639464932933985,23848377724540659,,,IMPRESSIONS,23849574292260659,PAUSED,1/23/2022 7:21:30 PM,UNDEFINED,PAUSED,,23849574292400659,,False,,,UNDEFINED,broad audience,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,1/23/2022 7:21:31 PM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/21/2022 2:35:54 AM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23850016155190659,,,IMPRESSIONS,23849574292260659,ACTIVE,4/21/2022 2:53:57 AM,UNDEFINED,CAMPAIGN_PAUSED,,23850254759100659,,False,,,UNDEFINED,Single Kits - Teacher Appreciation,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,4/21/2022 2:53:57 AM,ACTIVE,,,,,"[
  ""mobile"",
  ""desktop""
]",,,,,,,,,,"[
  ""feed"",
  ""video_feeds"",
  ""marketplace""
]",,"[
  ""US""
]","[
  ""home"",
  ""recent""
]","[
  ""stream""
]",,"[
  ""facebook"",
  ""instagram""
]",,,,,,,4/21/2022 2:53:57 AM,False,,,0,,,,,,,0,,,55,28,0,0,0,3 and 9,Parentswithearlyschool-agechildren(06-08years) and Parentswithpreteens(09-12years),LuxuryResorts and Luxurygoods
5/3/2022 9:02:49 AM,2639464932933985,23850016155190659,,,IMPRESSIONS,23849574292260659,ACTIVE,4/21/2022 2:51:34 AM,UNDEFINED,CAMPAIGN_PAUSED,,23850254739590659,,False,,,UNDEFINED,Single Kits - Dino Dig,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,4/21/2022 2:51:34 AM,ACTIVE,,,,,"[
  ""mobile"",
  ""desktop""
]",,,,,,,,,,"[
  ""feed"",
  ""video_feeds"",
  ""marketplace""
]",,"[
  ""US""
]","[
  ""home"",
  ""recent""
]","[
  ""stream""
]",,"[
  ""facebook"",
  ""instagram""
]",,,,,,,4/21/2022 2:51:34 AM,False,,,0,,,,,,,0,,,55,28,0,0,0,0,Parentswithpreschoolers(03-05years) and Parentswithearlyschool-agechildren(06-08years) and Parentswithpreteens(09-12years),TheLandBeforeTime and Dinosaur
5/3/2022 9:02:49 AM,2639464932933985,23848377912560659,,,IMPRESSIONS,23849574292260659,PAUSED,1/23/2022 7:21:30 PM,UNDEFINED,PAUSED,,23849574292270659,,False,,,UNDEFINED,LAL email 2%,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,1/23/2022 7:21:30 PM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/21/2022 2:35:53 AM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23849871434150659,,,IMPRESSIONS,23849574292260659,ACTIVE,3/20/2022 4:28:41 AM,UNDEFINED,CAMPAIGN_PAUSED,,23850002288540659,,False,,,UNDEFINED,INT: crafts 2,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/20/2022 4:28:41 AM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/21/2022 2:35:53 AM,False,,,0,,,,,,,0,,,55,25,0,0,0,0,0,Homeschooling and Cakedecorating and KidsActivities and FunCraftsKids
5/3/2022 9:02:49 AM,2639464932933985,0,,,IMPRESSIONS,23850037312470659,ACTIVE,3/24/2022 2:37:18 AM,UNDEFINED,ACTIVE,3/29/2022 2:37:48 AM,23850037312560659,,False,,,UNDEFINED,"Post: ""Hippity Hop! #Easter Is On Its Way! Get ready for...""",OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/24/2022 2:37:48 AM,ACTIVE,,,,,,,,,,,,,,,,,,"[
  ""home""
]",,,"[
  ""facebook"",
  ""instagram"",
  ""messenger""
]",,,,,,,3/24/2022 2:37:18 AM,False,,,0,,,,,,,0,,,65,30,0,0,Householdincome:top5%ofZIPcodes(US) and Householdincome:top10%ofZIPcodes(US) and Householdincome:top25%-50%ofZIPcodes(US),0,Parentswithpreschoolers(03-05years) and Parentswithearlyschool-agechildren(06-08years) and Parentswithpreteens(09-12years),Motherhood and Boutiques and Crafts and Desserts and Painting and Parenting and Onlineshopping and Children'sclothing and Doityourself(DIY) and Family and Luxurygoods
5/3/2022 9:02:49 AM,2639464932933985,23847396115120659,,,IMPRESSIONS,23847396115110659,ACTIVE,9/14/2021 12:17:28 AM,UNDEFINED,CAMPAIGN_PAUSED,,23848491203760659,,False,,,UNDEFINED,Video views,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,9/14/2021 12:17:28 AM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,9/14/2021 12:17:28 AM,False,,,0,,,,,,,0,,,65,25,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23849875868730659,,,IMPRESSIONS,23849574292260659,PAUSED,3/4/2022 6:18:08 PM,UNDEFINED,PAUSED,3/14/2022 2:59:00 AM,23849875945880659,,False,,,UNDEFINED,INT: St Patricks - Crafts,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/4/2022 6:18:08 PM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home""
]",,,,,,,,,,4/15/2022 12:30:07 AM,False,,,0,,,,,,,0,,,55,25,0,0,0,0,0,Homeschooling and Cakedecorating and KidsActivities and FunCraftsKids
5/3/2022 9:02:49 AM,2639464932933985,23849871434150659,,,IMPRESSIONS,23850164400390659,ACTIVE,4/8/2022 7:19:01 PM,UNDEFINED,CAMPAIGN_PAUSED,,23850164400640659,,False,,,UNDEFINED,INT: crafts Easter - Copy,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,4/8/2022 7:19:02 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/10/2022 5:51:51 PM,False,,,0,,,,,,,0,,,60,24,0,0,0,0,0,KidsActivities and FunCraftsKids
5/3/2022 9:02:49 AM,2639464932933985,23847396172890659,,,IMPRESSIONS,23847396172780659,PAUSED,7/2/2021 9:36:15 AM,UNDEFINED,PAUSED,,23847928926740659,,False,,,UNDEFINED,BOGO 50%,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,7/2/2021 9:36:15 AM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,7/6/2021 12:47:25 AM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23848542932260659,,,IMPRESSIONS,23849574159760659,ARCHIVED,1/23/2022 6:56:15 PM,UNDEFINED,ARCHIVED,,23849574159570659,,False,,,UNDEFINED,LLA Email 2%,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,1/23/2022 6:56:15 PM,ARCHIVED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,1/23/2022 7:05:42 PM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23847374848680659,,,IMPRESSIONS,23847374157320659,ACTIVE,4/15/2021 10:17:39 PM,UNDEFINED,CAMPAIGN_PAUSED,,23847374977060659,,False,,,UNDEFINED,LLA Initiate Checkout 1%,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,4/15/2021 10:17:39 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,8/11/2021 2:19:24 PM,False,,,0,,,,,,,0,,,65,25,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23848542945760659,,,IMPRESSIONS,23848910369460659,PAUSED,11/2/2021 6:18:16 PM,UNDEFINED,WITH_ISSUES,,23848910369470659,,False,,,UNDEFINED,LLA ATC 1%,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,11/2/2021 6:18:16 PM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,11/2/2021 6:18:28 PM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23849574292270659,,,IMPRESSIONS,23849574292260659,PAUSED,2/15/2022 1:33:49 AM,UNDEFINED,PAUSED,,23849736115920659,,False,,,UNDEFINED,LAL PUR 1%,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,2/15/2022 1:33:49 AM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,3/4/2022 6:20:00 PM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23848542932260659,,,IMPRESSIONS,23848910369460659,PAUSED,11/2/2021 6:18:16 PM,UNDEFINED,WITH_ISSUES,,23848910369620659,,False,,,UNDEFINED,LLA Email 2%,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,11/2/2021 6:18:17 PM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,11/2/2021 6:18:35 PM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0,0
